district,state,category,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04
North and Middle Andaman,Andaman and Nicobar Islands,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North and Middle Andaman,Andaman and Nicobar Islands,recovered,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North and Middle Andaman,Andaman and Nicobar Islands,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Andaman,Andaman and Nicobar Islands,confirmed,15,16,20,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
South Andaman,Andaman and Nicobar Islands,recovered,10,10,10,10,10,10,10,14,14,15,15,25,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
South Andaman,Andaman and Nicobar Islands,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicobars,Andaman and Nicobar Islands,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicobars,Andaman and Nicobar Islands,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicobars,Andaman and Nicobar Islands,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anantapur,Andhra Pradesh,confirmed,36,36,42,46,51,53,53,54,58,61,67,71,78,78,80,80,83,99,102,107,115,115,118,118,122,122,122,122,122,136,136,136,136,136,136,136,206,209,209,209,216,220,223,231,231
Anantapur,Andhra Pradesh,recovered,2,2,7,11,13,14,14,14,17,20,22,24,24,24,24,34,39,42,44,45,45,48,49,52,56,93,71,73,73,92,92,92,92,92,92,92,104,104,116,130,141,150,162,164,164
Anantapur,Andhra Pradesh,deceased,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Chittoor,Andhra Pradesh,confirmed,53,59,73,73,73,73,73,74,77,80,80,80,81,82,82,82,82,85,96,112,121,131,142,151,165,173,177,192,192,208,208,208,208,208,208,208,234,238,246,253,257,262,264,272,272
Chittoor,Andhra Pradesh,recovered,4,4,11,11,11,13,16,16,16,16,22,24,37,45,48,68,68,74,74,74,74,74,74,77,77,77,77,82,82,97,97,97,97,97,97,97,151,158,175,180,187,191,194,198,198
Chittoor,Andhra Pradesh,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4
East Godavari,Andhra Pradesh,confirmed,26,26,32,34,37,39,39,39,40,42,42,45,45,45,45,46,46,46,46,46,46,47,51,51,52,52,52,57,57,59,59,59,59,59,59,59,147,154,156,190,206,224,243,250,250
East Godavari,Andhra Pradesh,recovered,8,8,8,8,12,12,12,12,12,14,17,17,20,22,22,26,26,26,29,31,31,31,35,35,35,38,39,43,43,43,43,43,43,43,43,43,48,49,49,51,52,53,53,64,64
East Godavari,Andhra Pradesh,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Guntur,Andhra Pradesh,confirmed,157,177,195,206,209,214,237,254,283,287,306,308,319,338,351,363,373,374,376,382,387,387,399,404,404,413,417,417,417,426,426,426,426,426,426,426,452,465,465,478,489,496,519,527,527
Guntur,Andhra Pradesh,recovered,15,15,23,23,23,29,29,39,59,87,97,97,115,115,128,129,150,164,168,176,198,198,225,246,257,257,275,315,315,328,328,328,328,328,328,328,353,371,377,378,383,390,390,390,390
Guntur,Andhra Pradesh,deceased,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Krishna,Andhra Pradesh,confirmed,83,86,88,102,127,177,210,223,236,246,246,258,266,278,286,300,316,322,338,339,342,346,349,351,360,367,367,382,382,396,396,396,396,396,396,396,445,445,454,456,470,477,481,486,486
Krishna,Andhra Pradesh,recovered,14,14,25,25,29,29,29,29,32,32,37,44,46,46,56,117,123,126,134,137,142,177,202,203,206,211,253,263,263,280,280,280,280,280,280,280,298,306,315,322,323,327,334,337,337
Krishna,Andhra Pradesh,deceased,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9,10,11,11,13,13,13,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,19,19
Kurnool,Andhra Pradesh,confirmed,184,203,234,261,275,279,292,332,343,386,411,436,466,491,516,533,540,547,553,566,575,584,591,591,599,608,611,615,615,638,638,638,638,638,638,638,673,688,695,704,723,724,728,740,740
Kurnool,Andhra Pradesh,recovered,4,4,4,4,7,31,31,43,43,43,66,66,77,86,114,153,168,191,218,239,267,284,297,316,343,390,405,433,433,447,447,447,447,447,447,447,529,532,547,551,559,565,566,577,577
Kurnool,Andhra Pradesh,deceased,5,5,7,8,9,9,9,9,9,9,10,10,10,10,10,11,12,14,15,16,16,16,17,18,18,19,19,19,20,21,21,21,21,21,21,21,21,22,23,23,23,25,25,26,26
Prakasam,Andhra Pradesh,confirmed,44,48,50,53,53,56,56,56,60,60,60,61,61,61,61,61,61,61,61,63,63,63,63,63,63,63,66,66,66,67,67,67,67,67,67,67,72,75,75,75,79,80,80,81,81
Prakasam,Andhra Pradesh,recovered,1,1,1,1,12,23,23,23,23,23,23,42,42,50,50,52,52,60,60,60,62,62,60,60,60,63,63,63,63,63,63,63,63,63,63,63,64,66,66,66,66,66,66,67,67
Prakasam,Andhra Pradesh,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.P.S. Nellore,Andhra Pradesh,confirmed,68,67,67,68,72,72,79,82,82,84,84,90,91,91,92,92,96,96,96,101,102,111,111,126,140,149,150,157,157,182,182,182,182,182,182,182,231,233,238,239,239,255,261,261,261
S.P.S. Nellore,Andhra Pradesh,recovered,2,2,6,6,8,23,23,24,27,27,43,44,44,50,56,56,59,60,61,62,76,76,77,78,81,81,94,94,94,103,103,103,103,103,103,103,143,143,154,174,179,179,179,179,179
S.P.S. Nellore,Andhra Pradesh,deceased,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Visakhapatnam,Andhra Pradesh,confirmed,21,21,22,22,22,22,22,22,23,23,25,29,29,35,37,39,46,57,62,63,66,66,66,66,68,72,75,76,76,81,81,81,81,81,81,81,93,99,99,99,101,105,105,107,107
